Div,HomeTeam,year,win
D1,Hertha,2016,10
D1,Hoffenheim,2016,9
D1,Ein Frankfurt,2016,9
D1,Leverkusen,2016,9
D1,Mainz,2016,8
D1,Werder Bremen,2016,7
D1,Schalke 04,2016,7
D1,FC Koln,2016,6
D1,Ingolstadt,2016,6
D1,Hamburg,2016,5
D1,RB Leipzig,2016,6
D1,Wolfsburg,2016,4
D1,Augsburg,2016,3
D1,Freiburg,2016,5
D1,Darmstadt,2016,3
D1,Stuttgart,2016,3
D1,Hannover,2016,2
D1,Bayern Munich,2015,14
D1,Dortmund,2015,13
D1,M'gladbach,2015,13
D1,Wolfsburg,2015,12
D1,Schalke 04,2015,10
D1,Leverkusen,2015,10
D1,FC Koln,2015,6
D1,Hertha,2015,8
D1,Ein Frankfurt,2015,7
D1,Mainz,2015,8
D1,Stuttgart,2015,7
D1,Augsburg,2015,5
D1,Hamburg,2015,5
D1,Hoffenheim,2015,5
D1,Werder Bremen,2015,6
D1,Freiburg,2015,4
D1,Hannover,2015,3
D1,Ingolstadt,2015,2
D1,Darmstadt,2015,1
D1,Paderborn,2015,1
D1,Bayern Munich,2014,15
D1,Schalke 04,2014,12
D1,Wolfsburg,2014,12
D1,Hoffenheim,2014,11
D1,Augsburg,2014,10
D1,Ein Frankfurt,2014,9
D1,M'gladbach,2014,8
D1,Mainz,2014,8
D1,Dortmund,2014,8
D1,Leverkusen,2014,7
D1,Hannover,2014,8
D1,Werder Bremen,2014,6
D1,Freiburg,2014,6
D1,Hamburg,2014,6
D1,Hertha,2014,5
D1,Stuttgart,2014,4
D1,Paderborn,2014,3
D1,Braunschweig,2014,3
D1,Nurnberg,2014,3
D1,FC Koln,2014,1
D1,Bayern Munich,2013,9
D1,M'gladbach,2013,8
D1,Leverkusen,2013,7
D1,Wolfsburg,2013,6
D1,Dortmund,2013,6
D1,Hannover,2013,5
D1,Augsburg,2013,5
D1,Hertha,2013,5
D1,Schalke 04,2013,5
D1,Mainz,2013,4
D1,Werder Bremen,2013,3
D1,Stuttgart,2013,2
D1,Hoffenheim,2013,1
D1,Braunschweig,2013,2
D1,Hamburg,2013,2
D1,Freiburg,2013,1
D1,Nurnberg,2013,0
D1,Ein Frankfurt,2013,0
